dbkey,hastargetcl,simscore,caplettersworddif,urlsim,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,hastargeturl,hassourcecl,hassourcetag,hassourcepunctuation,punctsim,nwordssource,hassourceurl
577-577,1.0,0.89,0.0,1.0,0.0,1,0.0,57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,58,0.0
578-578,1.0,0.73,0.0,1.0,0.0,1,0.0,25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,28,0.0
579-579,1.0,0.62,0.0,1.0,0.0,1,0.0,99,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.97,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,72,0.0
580-580,1.0,0.79,0.0,1.0,0.0,1,0.0,196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,183,0.0
581-581,1.0,0.49,0.0,1.0,0.0,1,0.0,133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.29,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,123,0.0
582-582,1.0,0.37,0.0,1.0,0.0,1,0.0,44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,41,0.0
583-583,1.0,0.65,0.0,1.0,0.0,1,0.0,82,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,79,0.0
584-584,1.0,0.94,0.0,1.0,0.0,1,0.0,106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.59,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,88,0.0
585-585,1.0,0.83,0.117647058824,1.0,0.0,1,0.0,257,0.377964473009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.94,245,0.0
586-586,1.0,0.87,0.0,1.0,0.0,1,0.0,41,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.54,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,32,0.0
587-587,1.0,0.86,0.0,1.0,0.0,1,0.0,69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.57,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,84,0.0
588-588,1.0,0.73,0.0,1.0,0.0,1,0.0,137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.94,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,110,0.0
589-589,1.0,1.0,0.0,1.0,0.0,1,0.0,14,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.11,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13,0.0
590-590,1.0,0.53,0.0625,1.0,0.0625,1,0.0,55,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.29,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,49,0.0
591-591,1.0,0.67,0.0,1.0,0.0,1,0.0,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,87,0.0
592-592,1.0,0.78,0.166666666667,1.0,0.0,1,0.0,65,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,58,0.0
593-593,0.0,1.0,0.0,1.0,0.0,1,0.0,39,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,40,0.0
594-594,1.0,0.3,0.25,1.0,0.0,1,0.0,52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.32,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,28,0.0
595-595,1.0,0.71,0.0,1.0,0.0,1,0.0,87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.61,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,73,0.0
596-596,1.0,0.66,0.0869565217391,1.0,0.0,1,0.0,168,0.36514837167,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,170,0.0
597-597,1.0,0.83,0.0,1.0,0.0,1,0.0,76,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,78,0.0
598-598,1.0,1.0,0.0,1.0,0.0,1,0.0,44,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.31,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,39,0.0
599-599,1.0,0.79,0.0,1.0,0.0,1,0.0,152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.87,153,0.0
600-600,1.0,0.6,0.0,1.0,0.0,1,0.0,179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.37,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,168,0.0
601-601,1.0,0.67,0.0,1.0,0.0,1,0.0,64,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,66,0.0
602-602,1.0,1.0,0.0,1.0,0.0,1,0.0,253,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.38,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,203,0.0
603-603,1.0,1.0,0.0,1.0,0.0,1,0.0,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,33,0.0
604-604,1.0,0.74,0.0,1.0,0.0,1,0.0,58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,49,0.0
605-605,1.0,0.73,0.25,1.0,0.0,1,0.0,163,0.816496580928,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.62,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.95,143,0.0
606-606,1.0,0.67,0.0,1.0,0.0,1,0.0,145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.76,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,123,0.0
607-607,0.0,0.4,0.0,1.0,0.0,1,0.0,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,49,0.0
608-608,1.0,0.79,0.0,1.0,0.0,1,0.0,158,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.23,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,167,0.0
609-609,1.0,0.72,0.1,1.0,0.0,1,0.0,80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,85,0.0
610-610,1.0,0.87,0.0,1.0,0.0,1,0.0,53,1.0,1.0,0.0,1.0,1.0,0.67,0.0,1.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,51,0.0
611-611,1.0,0.76,0.0,1.0,0.0,1,0.0,42,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.31,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,48,0.0
612-612,1.0,0.67,0.0,1.0,0.0,1,0.0,12,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13,0.0
613-613,1.0,0.77,0.0,1.0,0.0,1,0.0,143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.95,116,0.0
614-614,1.0,0.73,0.0,1.0,0.0,1,0.0,92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.32,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,82,0.0
615-615,1.0,0.81,0.0,1.0,0.0,1,0.0,231,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.56,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,169,0.0
616-616,1.0,0.0,0.0,1.0,0.0,1,0.0,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24,0.0
617-617,1.0,0.88,0.0,1.0,0.0,1,0.0,97,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,88,0.0
618-618,1.0,0.92,0.0,1.0,0.0,1,0.0,55,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,52,0.0
619-619,1.0,0.86,0.0,1.0,0.0,1,0.0,154,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,143,0.0
620-620,1.0,0.83,0.0,1.0,0.0,1,0.0,161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,157,0.0
621-621,1.0,0.16,0.0,1.0,0.0,1,0.0,53,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,53,0.0
622-622,1.0,0.68,0.0,1.0,0.0,1,0.0,117,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.47,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,103,0.0
623-623,1.0,1.0,0.0,1.0,0.0,1,0.0,73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.28,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,80,0.0
624-624,1.0,0.96,0.0,1.0,0.0,1,0.0,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,65,0.0
625-625,1.0,0.86,0.0,1.0,0.0,1,0.0,93,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,90,0.0
626-626,1.0,0.85,0.0,1.0,0.0,1,0.0,101,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,88,0.0
627-627,1.0,1.0,0.0,1.0,0.0,1,0.0,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24,0.0
628-628,1.0,1.0,0.0,1.0,0.0,1,0.0,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,14,0.0
629-629,1.0,1.0,0.0,1.0,0.0,1,0.0,15,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,16,0.0
630-630,1.0,0.82,0.0,1.0,0.0,1,0.0,200,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,191,0.0
631-631,0.0,0.89,0.5,1.0,0.0,1,0.0,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,32,0.0
632-632,1.0,0.88,0.0714285714286,1.0,0.0,1,0.0,79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,71,0.0
633-633,1.0,0.89,0.0,1.0,0.0,1,0.0,163,0.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.58,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.82,143,0.0
634-634,1.0,0.53,0.0,1.0,0.0,1,0.0,85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,75,0.0
635-635,1.0,0.75,0.25,1.0,0.0,1,0.0,163,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,150,0.0
636-636,1.0,0.49,0.0,1.0,0.0,1,0.0,124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.94,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,99,0.0
637-637,1.0,0.94,0.0,1.0,0.0,1,0.0,48,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,50,0.0
638-638,1.0,0.84,0.0,1.0,0.0,1,0.0,100,0.666666666667,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,95,0.0
639-639,1.0,0.5,0.5,1.0,0.0,1,0.0,30,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.71,31,0.0
640-640,1.0,0.85,0.0,1.0,0.0,1,0.0,166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.54,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,148,0.0
641-641,1.0,0.82,0.166666666667,1.0,0.0,1,0.0,43,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.19,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,46,0.0
642-642,1.0,0.75,0.25,1.0,0.0,1,0.0,28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.32,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,23,0.0
643-643,1.0,0.33,0.0,1.0,0.0,1,0.0,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24,0.0
644-644,1.0,0.86,0.0,1.0,0.0,1,0.0,115,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.89,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,94,0.0
645-645,0.0,0.86,0.0,1.0,0.0,1,0.0,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,44,0.0
646-646,1.0,0.4,0.0,1.0,0.0,1,0.0,88,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,82,0.0
647-647,1.0,0.8,0.0,1.0,0.0,1,0.0,50,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,47,0.0
648-648,1.0,0.93,0.0,1.0,0.0,1,0.0,87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,83,0.0
649-649,1.0,0.46,0.0,1.0,0.0,1,0.0,67,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.48,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.87,57,0.0
650-650,1.0,0.8,0.166666666667,1.0,0.0,1,0.0,165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.13,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,158,0.0
651-651,1.0,0.9,0.0,1.0,0.0,1,0.0,166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,168,0.0
652-652,1.0,0.84,0.0,1.0,0.0,1,0.0,135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,120,0.0
653-653,1.0,0.73,0.0,1.0,0.0,1,0.0,75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.55,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,64,0.0
654-654,1.0,0.88,0.05,1.0,0.0,1,0.0,171,0.316227766017,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.59,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,147,0.0
655-655,1.0,0.84,0.0,1.0,0.0,1,0.0,82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,75,0.0
656-656,1.0,0.25,0.0,1.0,0.0,1,0.0,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.28,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,19,0.0
657-657,1.0,0.84,0.0,1.0,0.0,1,0.0,291,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.38,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,268,0.0
658-658,1.0,0.73,0.0,1.0,0.0,1,0.0,174,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.45,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,157,0.0
659-659,1.0,0.5,0.1,1.0,0.25,1,0.0,206,0.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,142,0.0
660-660,0.0,0.5,0.5,1.0,0.0,1,0.0,53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.54,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,44,0.0
661-661,1.0,0.55,0.285714285714,1.0,0.0,1,0.0,101,0.408248290464,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,83,0.0
662-662,0.0,1.0,0.0,1.0,0.0,1,0.0,25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,22,0.0
663-663,1.0,0.63,0.0,1.0,0.0,1,0.0,146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,135,0.0
664-664,0.0,0.67,0.0,1.0,0.0,1,0.0,24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.34,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20,0.0
665-665,1.0,0.69,0.0,1.0,0.0,1,0.0,219,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.71,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.95,148,0.0
666-666,1.0,0.81,0.0,1.0,0.0,1,0.0,124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,117,0.0
667-667,1.0,0.86,0.5,1.0,0.0,1,0.0,72,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47,55,0.0
668-668,1.0,0.71,0.0,1.0,0.0,1,0.0,49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,52,0.0
669-669,1.0,0.8,0.0,1.0,0.0,1,0.0,33,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,28,0.0
670-670,1.0,1.0,0.0,1.0,0.0,1,0.0,48,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.43,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,41,0.0
671-671,0.0,1.0,0.0,1.0,0.0,1,0.0,41,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37,0.0
672-672,1.0,0.48,0.0,1.0,0.0,1,0.0,54,0.408248290464,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.58,31,0.0
673-673,1.0,0.87,0.0,1.0,0.0,1,0.0,160,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,136,0.0
674-674,1.0,0.79,0.0,1.0,0.0,1,0.0,57,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,53,0.0
675-675,1.0,0.78,0.0,1.0,0.0,1,0.0,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,63,0.0
676-676,1.0,0.79,0.0,1.0,0.0,1,0.0,186,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.86,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,154,0.0
677-677,1.0,0.87,0.0,1.0,0.0,1,0.0,59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,62,0.0
678-678,1.0,0.71,0.0,1.0,0.0,1,0.0,91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,64,0.0
679-679,1.0,0.83,0.0,1.0,0.0,1,0.0,223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,211,0.0
680-680,1.0,0.56,0.25,1.0,0.0,1,0.0,146,0.707106781187,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.01,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,116,0.0
681-681,1.0,0.88,0.0,1.0,0.0,1,0.0,187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,159,0.0
682-682,1.0,0.68,0.0,1.0,0.0,1,0.0,184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,178,0.0
683-683,1.0,0.73,0.222222222222,1.0,0.0,1,0.0,218,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.82,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.75,181,0.0
684-684,1.0,0.52,0.0,1.0,0.0,1,0.0,38,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,31,0.0
685-685,1.0,0.55,0.285714285714,1.0,0.0,1,0.0,101,0.408248290464,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,83,0.0
686-686,1.0,0.84,0.0,1.0,0.0,1,0.0,470,0.0,1.0,0.0,0.0,1.0,0.87,0.0,1.0,0.0,0.0,2.07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.97,360,0.0
687-687,1.0,0.87,0.0,1.0,0.0,1,0.0,100,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.51,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,84,0.0
688-688,1.0,0.39,0.166666666667,1.0,0.0,1,0.0,55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.13,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,33,0.0
689-689,1.0,0.52,0.133333333333,1.0,0.0833333333333,1,0.0,43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.52,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0
690-690,1.0,0.81,0.0,1.0,0.0,1,0.0,135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.63,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,116,0.0
691-691,1.0,0.93,0.0,1.0,0.0,1,0.0,72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,64,0.0
692-692,1.0,0.93,0.0,1.0,0.0,1,0.0,252,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.13,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,241,0.0
693-693,1.0,0.17,0.0,1.0,0.0,1,0.0,128,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45,137,0.0
694-694,1.0,0.87,0.0,1.0,0.0,1,0.0,33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.68,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24,0.0
695-695,1.0,0.86,0.25,1.0,0.0,1,0.0,40,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.19,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,43,0.0
696-696,1.0,0.93,0.0,1.0,0.0,1,0.0,89,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.84,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,71,0.0
